SYMBOL,SECOND,Close,SD
ACC,400,1607.3,70.45523
ADANIPORTS,2500,331.35,22.47258
AMBUJACEM,2500,246.4,14.08898
ASIANPAINT,600,1097.9,67.00605
AUROPHARMA,700,622.8,26.65031
AXISBANK,1200,516.4,24.77521
BANKBARODA,3500,181.8,9.3552
BHEL,5000,177.9,19.46326
BPCL,1200,739.35,37.34582
BHARTIARTL,1700,353.95,20.77988
INFRATEL,1600,375.25,25.34678
BOSCHLTD,25,22592.1,1098.608
CIPLA,1000,552.95,11.66327
COALINDIA,1700,278.3,14.05535
DRREDDY,200,2645.95,190.2316
EICHERMOT,25,26082.3,1524.544
GAIL,2000,411.5,42.30141
GRASIM,750,1179.6,98.49155
HCLTECH,700,819.95,22.25727
HDFCBANK,500,1537.05,106.38
HEROMOTOCO,200,3305.2,99.15255
HINDALCO,3500,191.7,12.12428
HINDUNILVR,600,924,37.21235
HDFC,500,1548.4,102.2061
ITC,2400,281.3,18.69268
ICICIBANK,2500,272.5,11.42159
IDEA,7000,85.25,15.60729
INDUSINDBK,600,1453.2,129.3429
INFY,500,929.35,34.03232
KOTAKBANK,800,898,62.34945
LT,500,1746.1,110.9752
LICHSGFIN,1100,674.35,36.13852
LUPIN,400,1377.35,32.8083
M&M,500,29.28,4.369659
MARUTI,150,6337.2,390.4623
NTPC,4000,165.45,4.874234
ONGC,3750,181.5,26.49736
POWERGRID,4000,208.6,7.865426
RELIANCE,500,1432.8,140.3316
SBIN,3000,286.05,14.22686
SUNPHARMA,700,642.55,28.24067
TCS,250,2311.5,99.78635
TATAMTRDVR,2100,271.2,21.14587
TATAMOTORS,1500,445.65,29.15024
TATAPOWER,9000,85.2,4.692118
TATASTEEL,2000,454.65,33.16732
TECHM,1100,438.15,21.50641
ULTRACEMCO,200,4242.4,293.3588
WIPRO,1200,494.3,17.42499
YESBANK,700,1556.95,154.0924
ZEEL,1300,527.95,33.56087
^NSEI,,9306.6,417.3174
