Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
22-Jun-16,ABIRLANUVO,1038.5,1048.8, -0.0099,  0.0165,  0.0161,  0.3082,1041,1052.7, -0.0112,  0.0162,  0.0160,  0.3051,  0.0161,  0.3082
22-Jun-16,ACC,1571.05,1559,  0.0077,  0.0107,  0.0105,  0.2013,1572.3,1562.2,  0.0064,  0.0106,  0.0104,  0.1993,  0.0105,  0.2013
22-Jun-16,ADANIENT,77.65,78.65, -0.0128,  0.0275,  0.0268,  0.5128,78,78.95, -0.0121,  0.0280,  0.0273,  0.5224,  0.0273,  0.5224
22-Jun-16,ADANIPORTS,207.35,203.25,  0.0200,  0.0224,  0.0223,  0.4253,207.75,204.15,  0.0175,  0.0219,  0.0217,  0.4146,  0.0223,  0.4253
22-Jun-16,ADANIPOWER,29.55,30, -0.0151,  0.0198,  0.0195,  0.3729,29.6,30.15, -0.0184,  0.0197,  0.0197,  0.3756,  0.0197,  0.3756
22-Jun-16,AJANTPHARM,1445.9,1466.15, -0.0139,  0.0168,  0.0166,  0.3171,1453,1472.05, -0.0130,  0.0169,  0.0167,  0.3196,  0.0167,  0.3196
22-Jun-16,ALBK,60.5,60.7, -0.0033,  0.0257,  0.0249,  0.4761,59.7,59.95, -0.0042,  0.0272,  0.0264,  0.5046,  0.0264,  0.5046
22-Jun-16,AMARAJABAT,865,860.85,  0.0048,  0.0131,  0.0127,  0.2431,864.2,861.85,  0.0027,  0.0131,  0.0127,  0.2430,  0.0127,  0.2431
22-Jun-16,AMBUJACEM,242.85,240.2,  0.0110,  0.0157,  0.0155,  0.2957,242.7,240.2,  0.0104,  0.0149,  0.0146,  0.2794,  0.0155,  0.2957
22-Jun-16,ANDHRABANK,54.6,54.9, -0.0055,  0.0207,  0.0201,  0.3842,54.8,55.05, -0.0046,  0.0215,  0.0209,  0.3988,  0.0209,  0.3988
